"PG.ProteinAccessions","PG.Genes","Veh.1","Veh.2","Veh.3","Veh.4","Veh.5","Veh.6","Veh.7","Veh.8","GDF15.1","GDF15.2","GDF15.3","GDF15.4","GDF15.5","GDF15.6","GDF15.7","CR.1","CR.2","CR.3","CR.4","CR.5","CR.6","CR.7","CR.8","CR.9","CR.10","CR.11","CR.12","CR.13","CR.14","CR.15","CR.16","Protein"
"Q8K426","Retnlg",24503.70508,18280.55664,42910.39844,12301.0332,36164.55469,24839.37305,36496.625,44314.53906,25996.29297,62486.45313,23075.68164,43995.73047,22822.74805,75561.09375,11165.16797,51941.875,51614.48438,35613.69922,29001.0293,39756.67578,29982.65625,21579.2793,17967.59766,19193.22656,38613.76172,19540.5957,35457.17969,21114.66016,37842.86719,19447.00781,30290.01758,"RETNLG"
"Q8QZR3","Ces2a",,,40846.5625,37507.77344,43117.92969,36064.41016,26284.10742,73461,,28442.67383,31615.16211,,34582.13281,34784.44141,,29228.02539,35103.68359,30319.22461,35699.23047,55253.12109,54054.25781,44034.69531,46054.91797,23199.05664,35507.33984,41471.19531,41286.78906,28303.30078,23185.81445,,27231.05859,"CES2A"
"Q8QZR4","Oaf",18895.81055,32216.68945,6366.388672,7987.029297,21889.37891,11360.64844,16606.00195,,17269.42773,14944.65527,15366.41797,16304.74219,16627.35938,19390.45508,4833.241699,20788.45898,21134.32227,18954.76172,22302.16016,,5062.919922,4586.227051,,,,10189.74121,14747.90234,14292.36621,15395.30859,14894.9834,14707.03711,"OAF"
"Q8R0Z6","Angptl6",18937.5918,10979.71484,10848.20605,23917.11133,19072.84375,13317.88672,22538.89453,18956.95898,10943.48438,,15084.00391,12599.72852,,15294.79883,15974.99902,20334.78906,15727.56934,16344.01953,20668.35156,15572.1084,14650.93652,18733.78711,15869.44141,22056.43945,16015.9375,18094.36719,18713.43359,21065.48438,24017.35156,19516.10547,24934.35156,"ANGPTL6"
"Q8R121","Serpina10",491143.1875,412970.0313,479859.7813,542973.6875,506263.625,525547.25,520361.4063,502098.625,420696.3125,474833.7813,409222.9375,454669.7188,387343.5,540804.3125,434979.125,490361.0313,437628.6875,484911.3438,475664.125,517975.6563,541455.5,499422.9063,558778.5625,431088.75,466076.9688,448861.875,411980.0938,459526.4375,492376.4375,467681.4375,478813.0313,"SERPINA10"
"Q8VC30","Tkfc",46446.17578,8820.357422,16248.02246,35682.13672,52352.15234,37681.39453,70953.4375,47529.88672,3762.068604,3311.44165,2400.749268,6653.073242,2001.008789,22985.38672,4430.745605,12430.95508,7946.394043,12050.31934,13196.88672,45488.30469,20484.34961,26619.0918,21014.3418,9253.686523,16506.80078,6062.39209,5731.074707,10607.00098,7897.049805,20152.7832,14706.75391,"TKFC"
"Q8VC49","Ifi27l2b",1701.088013,,,1283.643066,1906.445068,1932.139771,1986.766113,2152.433594,,1688.662842,1689.956665,1896.342163,1755.832031,2005.791138,,,1169.146729,,1374.424316,,1271.223145,1389.1073,1356.347412,1647.061035,1958.825073,1893.631714,1551.560181,1680.888672,1270.702393,701.0966797,1549.112549,"IFI27L2B"
"Q8VCG4","C8g",70946.3125,147051.9063,122430.3672,71566.53125,78023.07031,73231.36719,60176.73047,68471.19531,159197.0469,176232.5313,165687.5781,125250.875,136836.6875,70558.0625,102293.9688,96415.98438,116754.375,97077.53906,89142.41406,151768.7031,75028.89063,58221.28906,64977.13672,151629.8594,90818.375,96209.57031,122047.4141,97009.21094,109377.625,106735.8125,82898.96875,"C8G"
"Q8VCS0","Pglyrp2",741117,565060.375,694730.1875,799644.5,909407.75,853187.3125,800145,751782.9375,528291,360978.1563,374962.2188,402712.0313,437124.5938,603596.75,437327.25,599367.375,640392.125,622311.0625,736286.5625,944820.875,750140.25,681130.5,694343.1875,533476.75,747227.375,549728.4375,752140.9375,848556.3125,784066.75,786008,690202.25,"PGLYRP2"
"Q8VCU2","Gpld1",2444506.25,2330228.75,2234122,2406767.5,2223851.75,2323750,2374443.5,2310743.25,2551578.25,2472166.75,2661026.75,2482100,2547169.25,2375961,2306229,2451724.5,2353830,2609937,2470503,1203200.875,2283071.75,2311375.25,2301336.5,2582846.5,2379122.25,2301306.25,2339802.25,2360955,2499620,2186868.75,2540951,"GPLD1"
